"train/global_step","grpo_vastai_20260220_001219 - train/reward","grpo_vastai_20260220_001219 - train/reward__MIN","grpo_vastai_20260220_001219 - train/reward__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"159","-0.2335391640663147","-0.2335391640663147","-0.2335391640663147","1906","1906","1906"
"160","0.302048921585083","0.302048921585083","0.302048921585083","1918","1918","1918"
"161","-0.2256181240081787","-0.2256181240081787","-0.2256181240081787","1930","1930","1930"
"162","0.09868420660495758","0.09868420660495758","0.09868420660495758","1942","1942","1942"
"163","0.115792416036129","0.115792416036129","0.115792416036129","1954","1954","1954"
"164","0.05997670069336891","0.05997670069336891","0.05997670069336891","1966","1966","1966"
"165","-0.07243016362190247","-0.07243016362190247","-0.07243016362190247","1978","1978","1978"
"166","-0.25992438197135925","-0.25992438197135925","-0.25992438197135925","1990","1990","1990"
"167","-0.2163938581943512","-0.2163938581943512","-0.2163938581943512","2002","2002","2002"
"168","-0.1530483365058899","-0.1530483365058899","-0.1530483365058899","2014","2014","2014"
"169","0.21590109169483185","0.21590109169483185","0.21590109169483185","2026","2026","2026"
"170","0.20480474829673767","0.20480474829673767","0.20480474829673767","2038","2038","2038"
"171","-0.3041294515132904","-0.3041294515132904","-0.3041294515132904","2050","2050","2050"
"172","-0.2875504791736603","-0.2875504791736603","-0.2875504791736603","2062","2062","2062"
"173","1.5963541269302368","1.5963541269302368","1.5963541269302368","2074","2074","2074"
"174","0.055431533604860306","0.055431533604860306","0.055431533604860306","2086","2086","2086"
"175","-0.11466304957866669","-0.11466304957866669","-0.11466304957866669","2098","2098","2098"
"176","0.010003313422203064","0.010003313422203064","0.010003313422203064","2110","2110","2110"
"177","-0.0029980987310409546","-0.0029980987310409546","-0.0029980987310409546","2122","2122","2122"
"178","0.10074682533740997","0.10074682533740997","0.10074682533740997","2134","2134","2134"
"179","-0.02699011191725731","-0.02699011191725731","-0.02699011191725731","2146","2146","2146"
"180","0.1015625","0.1015625","0.1015625","2158","2158","2158"
"181","-0.005766361951828003","-0.005766361951828003","-0.005766361951828003","2170","2170","2170"
"182","2.286897897720337","2.286897897720337","2.286897897720337","2182","2182","2182"
"183","-0.06593088805675507","-0.06593088805675507","-0.06593088805675507","2194","2194","2194"
"184","-0.1171875","-0.1171875","-0.1171875","2206","2206","2206"
"185","2.1022727489471436","2.1022727489471436","2.1022727489471436","2218","2218","2218"
"186","0.08616071939468384","0.08616071939468384","0.08616071939468384","2230","2230","2230"
"187","-0.0446428507566452","-0.0446428507566452","-0.0446428507566452","2242","2242","2242"
"188","-0.08678938448429108","-0.08678938448429108","-0.08678938448429108","2254","2254","2254"
"189","0.019850105047225952","0.019850105047225952","0.019850105047225952","2266","2266","2266"
"190","0.0364910364151001","0.0364910364151001","0.0364910364151001","2278","2278","2278"
"191","-0.16596394777297974","-0.16596394777297974","-0.16596394777297974","2290","2290","2290"
"192","-0.1822630614042282","-0.1822630614042282","-0.1822630614042282","2302","2302","2302"
"193","0.024925597012043","0.024925597012043","0.024925597012043","2314","2314","2314"
"194","-0.07326331734657288","-0.07326331734657288","-0.07326331734657288","2326","2326","2326"
"195","-0.2553943395614624","-0.2553943395614624","-0.2553943395614624","2338","2338","2338"
"196","1.9813988208770752","1.9813988208770752","1.9813988208770752","2350","2350","2350"
"197","-0.13686341047286987","-0.13686341047286987","-0.13686341047286987","2362","2362","2362"
"198","0.005924403667449951","0.005924403667449951","0.005924403667449951","2374","2374","2374"
"199","-0.11670704185962677","-0.11670704185962677","-0.11670704185962677","2386","2386","2386"
"200","1.6748511791229248","1.6748511791229248","1.6748511791229248","2398","2398","2398"
"201","0.23217520117759705","0.23217520117759705","0.23217520117759705","2410","2410","2410"
"202","1.8776041269302368","1.8776041269302368","1.8776041269302368","2422","2422","2422"
"203","-0.2945510745048523","-0.2945510745048523","-0.2945510745048523","2434","2434","2434"
"204","-0.02717464789748192","-0.02717464789748192","-0.02717464789748192","2446","2446","2446"
"205","2.103794574737549","2.103794574737549","2.103794574737549","2458","2458","2458"
"206","-0.2397862672805786","-0.2397862672805786","-0.2397862672805786","2470","2470","2470"
"207","0.22688135504722595","0.22688135504722595","0.22688135504722595","2482","2482","2482"
"208","-0.1032390147447586","-0.1032390147447586","-0.1032390147447586","2494","2494","2494"
"209","0.1848958283662796","0.1848958283662796","0.1848958283662796","2506","2506","2506"
"210","-0.035748109221458435","-0.035748109221458435","-0.035748109221458435","2518","2518","2518"
"211","-0.06473003327846527","-0.06473003327846527","-0.06473003327846527","2530","2530","2530"
"212","-0.111235111951828","-0.111235111951828","-0.111235111951828","2542","2542","2542"
"213","-0.014508932828903198","-0.014508932828903198","-0.014508932828903198","2554","2554","2554"
"214","-0.16955702006816864","-0.16955702006816864","-0.16955702006816864","2566","2566","2566"
"215","-0.07357487082481384","-0.07357487082481384","-0.07357487082481384","2578","2578","2578"
"216","-0.5055803656578064","-0.5055803656578064","-0.5055803656578064","2590","2590","2590"
"217","0.050493769347667694","0.050493769347667694","0.050493769347667694","2602","2602","2602"
"218","-0.29332828521728516","-0.29332828521728516","-0.29332828521728516","2614","2614","2614"
"219","0.1828497052192688","0.1828497052192688","0.1828497052192688","2626","2626","2626"
"220","-0.028074655681848526","-0.028074655681848526","-0.028074655681848526","2638","2638","2638"
"221","-0.024279672652482986","-0.024279672652482986","-0.024279672652482986","2650","2650","2650"
"222","0.169022798538208","0.169022798538208","0.169022798538208","2662","2662","2662"
"223","-0.05758194625377655","-0.05758194625377655","-0.05758194625377655","2674","2674","2674"
"224","2.3973214626312256","2.3973214626312256","2.3973214626312256","2686","2686","2686"
"225","1.437334656715393","1.437334656715393","1.437334656715393","2698","2698","2698"
"226","-0.21939922869205475","-0.21939922869205475","-0.21939922869205475","2710","2710","2710"
"227","-0.15672831237316132","-0.15672831237316132","-0.15672831237316132","2722","2722","2722"
"228","0.09456844627857208","0.09456844627857208","0.09456844627857208","2734","2734","2734"
"229","2.2646329402923584","2.2646329402923584","2.2646329402923584","2746","2746","2746"
"230","-0.3122519850730896","-0.3122519850730896","-0.3122519850730896","2758","2758","2758"
